sepal.length,sepal.width,petal.length,petal.width,variety
4.600,3.200,1.400,0.200,0
4.900,3.000,1.400,0.200,0
4.800,3.400,1.600,0.200,0
5.500,4.200,1.400,0.200,0
5.500,2.500,4.000,1.300,1
5.000,3.500,1.300,0.300,0
4.700,3.200,1.300,0.200,0
5.000,2.000,3.500,1.000,1
4.300,3.000,1.100,0.100,0
5.000,3.600,1.400,0.200,0
5.500,3.500,1.300,0.200,0
5.600,3.000,4.100,1.300,1
5.000,2.300,3.300,1.000,1
6.100,2.800,4.000,1.300,1
5.700,2.900,4.200,1.300,1
6.000,2.700,5.100,1.600,1
5.300,3.700,1.500,0.200,0
6.000,2.200,4.000,1.000,1
5.500,2.400,3.800,1.100,1
6.800,2.800,4.800,1.400,1
5.100,3.800,1.900,0.400,0
6.700,3.000,5.000,1.700,1
5.700,4.400,1.500,0.400,0
5.700,2.800,4.100,1.300,1
4.400,2.900,1.400,0.200,0
4.800,3.100,1.600,0.200,0
4.900,3.600,1.400,0.100,0
5.000,3.300,1.400,0.200,0
5.100,2.500,3.000,1.100,1
5.600,2.500,3.900,1.100,1
4.500,2.300,1.300,0.300,0
5.000,3.400,1.500,0.200,0
6.300,2.300,4.400,1.300,1
5.700,3.800,1.700,0.300,0
6.100,3.000,4.600,1.400,1
5.200,2.700,3.900,1.400,1
5.100,3.500,1.400,0.200,0
5.000,3.000,1.600,0.200,0
4.800,3.000,1.400,0.300,0
5.400,3.700,1.500,0.200,0
4.800,3.000,1.400,0.100,0
6.400,2.900,4.300,1.300,1
4.600,3.100,1.500,0.200,0
5.800,2.600,4.000,1.200,1
5.200,3.400,1.400,0.200,0
6.200,2.200,4.500,1.500,1
5.600,2.700,4.200,1.300,1
4.400,3.000,1.300,0.200,0
5.200,3.500,1.500,0.200,0
5.100,3.400,1.500,0.200,0
4.700,3.200,1.600,0.200,0
4.600,3.600,1.000,0.200,0
5.400,3.400,1.700,0.200,0
4.600,3.400,1.400,0.300,0
5.400,3.900,1.700,0.400,0
5.100,3.300,1.700,0.500,0
6.100,2.800,4.700,1.200,1
5.800,2.700,4.100,1.000,1
5.500,2.600,4.400,1.200,1
5.600,3.000,4.500,1.500,1
6.400,3.200,4.500,1.500,1
5.700,3.000,4.200,1.200,1
5.400,3.000,4.500,1.500,1
6.600,3.000,4.400,1.400,1
7.000,3.200,4.700,1.400,1
5.200,4.100,1.500,0.100,0
5.500,2.400,3.700,1.000,1
5.900,3.200,4.800,1.800,1
5.700,2.600,3.500,1.000,1
5.400,3.900,1.300,0.400,0
